label,fea_2,fea_4,fea_8,fea_10,fea_11,fea_1_1,fea_1_2,fea_1_4,fea_1_5,fea_1_6,fea_1_7,fea_3_1,fea_3_2,fea_3_3,fea_5_1,fea_5_2,fea_6_3,fea_6_4,fea_6_5,fea_6_6,fea_6_8,fea_6_9,fea_6_11,fea_6_12,fea_6_15,fea_6_16,fea_7_-1,fea_7_1,fea_7_2,fea_7_3,fea_7_4,fea_7_5,fea_7_7,fea_7_8,fea_7_9,fea_7_10,fea_9_1,fea_9_2,fea_9_3,fea_9_4,fea_9_5
1,-0.7970870882768026,-0.49638711979528444,0.6840445144201424,-0.08736149839005329,0.9767536602283008,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,-0.14342018309049653,-0.08917452987632686,-0.06698028589475047,1.1619375765474789,0.6411737535743419,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.2923577537003742,-0.12310891236957332,0.016466914140237616,-0.6075163209160109,-1.1903961207302012,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.0705326408269291,0.34066098170479503,0.7674917144551304,-0.6856848352735923,-1.1903961207302012,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0.0,-0.6999934147547633,0.6005973143851542,1.8724662173330726,0.5543745830025004,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,-1.3885000024929843,-0.7339277972480097,-0.06698028589475047,-0.6856389193886796,-1.1903961207302012,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0.41686573564062296,-0.9714684747007349,-1.3186882864195717,-0.6857832264555477,-1.1903961207302012,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,-0.5791981198813673,-0.4850756589642023,0.8509389144901185,-0.686039043528632,-1.1903961207302012,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.8215166769464315,1.0985288573872993,0.9343861145251066,-0.08736149839005329,1.3133871987601689,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0.0,-0.9714684747007349,0.016466914140237616,-0.6860456029407623,0.9088163755142081,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0.6347547040360584,4.096065977624071,0.016466914140237616,-0.08736149839005329,1.3133871987601689,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,-0.7037061018216161,-0.29278082483580564,0.8509389144901185,-0.6859275335224158,-1.1903961207302012,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,-1.2639920205527355,-0.4511412764709558,1.1012805145950828,-0.08736149839005329,0.5324564389959653,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0.0,-0.5076985806263666,1.0178333145600946,-0.6856389193886796,0.2079539541405632,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,1.693072550528173,-0.2814693640047235,-1.9028186866644885,-0.6860718405892838,0.38987036547669374,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
